,name,cost_text,coordinates,desc,beds,baths,parkings,weekly_rent
https://www.domain.com.au/513-112-abeckett-street-melbourne-vic-3000-16557068,513/112 Abeckett Street Melbourne VIC 3000,$550 pw,"[-37.8092732, 144.9600526]","This freshly painted two-bedroom apartment features brand new floorboards throughout the apartment. Kitchen includes gas appliances with ample bench space, both bedrooms with built in wardrobes also include built in study nook with desk.",2.0,1.0,1.0,550.0
https://www.domain.com.au/1703-68-la-trobe-street-melbourne-vic-3000-16556028,1703/68 La Trobe Street Melbourne VIC 3000,$620 pw,"[-37.8083648, 144.9667899]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,1.0,1.0,620.0
https://www.domain.com.au/2704-288-spencer-street-melbourne-vic-3000-16552061,2704/288 Spencer Street Melbourne VIC 3000,$480,"[-37.8136665, 144.9518843]",nbn® Fibre to the Building (FTTB) is available in this property ,1.0,1.0,0.0,480.0
https://www.domain.com.au/1106-33-mackenzie-street-melbourne-vic-3000-16551624,1106/33 Mackenzie Street Melbourne VIC 3000,520,"[-37.8078362, 144.9669868]","Within walking distance to Lygon Street, Melbourne Central, QV shopping complex, exclusive Collins Street, RMIT and Melbourne Uni. This unfurnished apartment includes:",1.0,1.0,0.0,520.0
https://www.domain.com.au/319-118-franklin-street-melbourne-vic-3000-15649031,319/118 Franklin Street Melbourne VIC 3000,$580,"[-37.8082052, 144.9589035]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,1.0,0.0,580.0
https://www.domain.com.au/708-220-spencer-street-melbourne-vic-3000-16540945,708/220 Spencer Street Melbourne VIC 3000,$650 per week,"[-37.8157157, 144.9529559]","Located within the New York style, Upper West Side complex, this fully furnished two bedroom, apartment showcases spectacular city views with access to a full range of resident only facilities including; heated lap pool, gym, BBQ and garden facilities, retail stores and a rock climbing wall. This individual apartment boasts; - two generously sized bedroom and bathrooms - European style laundry",2.0,2.0,0.0,650.0
https://www.domain.com.au/420-408-lonsdale-street-melbourne-vic-3000-16538961,420/408 Lonsdale Street Melbourne VIC 3000,$390,"[-37.8125979, 144.9604012]",nbn® Fibre to the Building (FTTB) is available in this property ,1.0,1.0,0.0,390.0
https://www.domain.com.au/172-350-st-kilda-road-melbourne-vic-3000-16538363,172/350 St Kilda Road Melbourne VIC 3000,$1295 Per Week,"[-37.8310667, 144.9709519]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,2.0,2.0,1295.0
https://www.domain.com.au/1309-120-a-beckett-street-melbourne-vic-3000-16533751,1309/120 A'Beckett Street Melbourne VIC 3000,$750.00,"[-37.8093086, 144.9597389]",PLEASE NOTE THIS PROPERTY IS OFFERED AS FURNISHED,2.0,2.0,1.0,750.0
https://www.domain.com.au/1406-63-la-trobe-street-melbourne-vic-3000-16533512,1406/63 La Trobe Street Melbourne VIC 3000,$560,"[-37.8082025, 144.9693999]",nbn® Fibre to the Premises (FTTP) is available in this property ,1.0,1.0,0.0,560.0
https://www.domain.com.au/2003-63-la-trobe-street-melbourne-vic-3000-16533391,2003/63 La Trobe Street Melbourne VIC 3000,$980,"[-37.8082025, 144.9693999]",nbn® Fibre to the Premises (FTTP) is available in this property ,2.0,2.0,0.0,980.0
https://www.domain.com.au/2407-250-elizabeth-street-melbourne-vic-3000-16527593,2407/250 Elizabeth Street Melbourne VIC 3000,$595 pw,"[-37.812508, 144.9626295]",nbn® Fibre to the Building (FTTB) is available in this property ,2.0,1.0,0.0,595.0
https://www.domain.com.au/518-408-lonsdale-street-melbourne-vic-3000-15382941,518/408 Lonsdale Street Melbourne VIC 3000,$400,"[-37.8125979, 144.9604012]",nbn® Fibre to the Building (FTTB) is available in this property ,1.0,1.0,0.0,400.0
https://www.domain.com.au/5-1-17-19-elizabeth-street-melbourne-vic-3000-16517770,5.1/17-19 Elizabeth Street Melbourne VIC 3000,$400 pw,"[-37.8176963, 144.9644422]","Exceptional one bedroom unfurnished, warehouse style apartment located on the 5th floor in a sensational location on Elizabeth Street, central to all public transport and across the road from Coles Supermarket and Flinders Street station. Offering secure entry and lift access and with only 2 apartments per floor, move in and enjoy the light filled living area with city views and floorboards",1.0,1.0,0.0,400.0
