,name,geometry,cost,beds,baths,parkings,SA2_CODE21,SA2_NAME21,Nearest_station,Nearest_park,Nearest_shop,Nearest_hospital,Nearest_school,Nearest_supermarket
435,1905/36 La Trobe Street Melbourne VIC 3000,POINT (144.967594 -37.8081637),695.0,2.0,2.0,,206041503,Melbourne CBD - East,0.968,1.5015,0.8226,1.9173,0.339,1.8916666666666666
436,1502/68 Latrobe Street Melbourne VIC 3000,POINT (144.9667899 -37.8083648),850.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,1.0760999999999998,1.6096,0.9307000000000001,2.0254000000000003,0.4471,2.1933333333333334
438,215/181 Exhibition Street Melbourne VIC 3000,POINT (144.9700015 -37.8120109),55.0,1.0,1.0,1.0,206041503,Melbourne CBD - East,0.3015,2.1485,0.5985,2.5643000000000002,0.1206,1.13
441,2613/33 MacKenzie Street Melbourne VIC 3000,POINT (144.9669868 -37.8078362),600.0,1.0,1.0,1.0,206041503,Melbourne CBD - East,0.8886000000000001,1.4221,0.7432000000000001,1.8379,0.2596,1.2033333333333334
442,16/2 Exhibition Street Melbourne VIC 3000,POINT (144.9726652 -37.8156803),575.0,1.0,1.0,1.0,206041503,Melbourne CBD - East,0.687,3.0054000000000003,1.3989,2.0359000000000003,0.7721,2.816666666666667
455,1602/17 Spring Street Melbourne VIC 3000,POINT (144.9744021 -37.8147493),1500.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.43189999999999995,2.7503,1.1439000000000001,2.4385,0.5171,2.19
458,4407/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),980.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
470,68 Hayward Lane Melbourne VIC 3000,POINT (144.966963 -37.809097),34.64203233256351,1.0,1.0,1.0,206041503,Melbourne CBD - East,0.6834,1.5151,0.538,1.9309,0.3525,1.2816666666666667
472,5401/308 Exhibition Street Melbourne VIC 3000,POINT (144.9696285 -37.8085173),3750.0,3.0,2.0,4.0,206041503,Melbourne CBD - East,0.6426000000000001,1.7166,0.6361,2.1149,0.7733,0.6466666666666666
476,1/24-38 Little Bourke Street Melbourne VIC 3000,POINT (144.9715184 -37.8105571),420.0,1.0,1.0,,206041503,Melbourne CBD - East,0.3615,2.1488,0.543,2.5646,0.49219999999999997,1.4383333333333332
477,3001/308 Exhibition Street Melbourne VIC 3000,POINT (144.9696285 -37.8085173),1400.0,3.0,2.0,1.0,206041503,Melbourne CBD - East,0.6426000000000001,1.7166,0.6361,2.1149,0.7733,0.6466666666666666
482,4301/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695037 -37.8081716),2350.0,4.0,3.0,2.0,206041503,Melbourne CBD - East,0.7565,1.6335,0.75,2.0318,0.8872000000000001,0.875
505,602/18 Russell Place Melbourne VIC 3000,POINT (144.9673838 -37.8134924),650.0,2.0,1.0,,206041503,Melbourne CBD - East,2.1915999999999998,2.0235,0.417,2.4393000000000002,0.8082999999999999,0.9133333333333333
